num_totes,run_time,num_save,avg_util_before_3d,avg_util_after_3d,avg_util_before_2d,avg_util_after_2d
200,59.054569244384766,56,0.3769218937584864,0.5170272662563355,0.45061530620402934,0.6192713052535264
400,179.31182646751404,131,0.351809015044579,0.5216113659752526,0.4257037662562624,0.6298370034503813
600,448.4017879962921,175,0.3690873505346381,0.5203424112007726,0.4427839516043061,0.6229044000075245
800,691.1111254692078,258,0.35963158670663936,0.5302553206731674,0.43089208739739887,0.6342761419899137
1000,1272.7014384269714,301,0.3576251025027045,0.5111848597170957,0.429356285310734,0.6129045555813277
1200,1609.4116005897522,365,0.3637340488471713,0.5223640395882048,0.4357978782468112,0.6251753927386675
1400,2419.1119384765625,418,0.3623258265373707,0.5162416207656457,0.4324310393728964,0.6155473056646327
1600,3868.1810500621796,496,0.3580686985841349,0.5186621668244219,0.4297892223976661,0.6220351040551445
1800,5891.211222648621,567,0.3567973484219644,0.5206231480933342,0.43142809712894975,0.6290629147386252
2000,5205.11678647995,632,0.3656566432592436,0.5343614042090881,0.4367730186014298,0.6378728335113112
