num_totes,run_time,num_save,avg_util_before_3d,avg_util_after_3d,avg_util_before_2d,avg_util_after_2d
200,118.1993637084961,104,0.39048989125102,0.5368856091140829,0.47302662962370734,0.6333569432230038
400,412.0446195602417,217,0.3915918963502702,0.5477106076757773,0.48061332413921726,0.6552664582463222
600,249.70685029029846,328,0.40099824523052086,0.5435947174096267,0.48047695030735876,0.6387614622719893
800,402.3855278491974,432,0.39315400978073506,0.5711333275748427,0.4755072087197532,0.6770655548564858
1000,556.6735320091248,557,0.3971403057234624,0.5961879994997327,0.4752393001812177,0.7011469619563864
1200,420.2783169746399,647,0.3888246629625166,0.583795749814774,0.4686901105514696,0.6879500916881554
1400,466.4671664237976,743,0.39513866092523464,0.5672802168961002,0.47592251435271876,0.6649495920784209
1600,541.1777815818787,858,0.3938177170777364,0.5802537472227979,0.46917965418798624,0.6777866298542871
1800,660.0259878635406,988,0.3925162759070368,0.5902025781644514,0.47071275124661005,0.6933947002982134
2000,568.6666588783264,1074,0.39612302919847076,0.5670500546588301,0.47724256475855464,0.666272361786369
